Merk,Model,Cilinderinhoud (cc),Bouwjaar,Brandstof,Kilometerstand,Vermogen (kW),Vermogen (pk)
Honda,Ridgeline,1300,12/1990,lpg,251713,205,275
Mercedes-Benz,AMG GT,1500,04/2001,diesel,179666,373,500
Audi,TT,2600,06/2012,lpg,118513,69,93
Mitsubishi,Triton,2600,09/2022,diesel,78605,187,251
Hyundai,Sonata,1900,03/2019,elektrisch,120430,71,95
Subaru,Outback,3300,01/2010,diesel,195997,272,365
Jeep,Patriot,3500,09/2024,benzine,157566,90,121
Alfa Romeo,Giulia,2200,07/2014,benzine,126484,92,123
Mazda,CX-3,1900,07/2019,diesel,277993,336,451
Toyota,Highlander,3000,07/2005,diesel,126878,199,267
Audi,Q7,1500,09/2000,elektrisch,278592,345,463
Kia,Niro,1900,06/2017,benzine,111285,181,243
BMW,X5,3500,03/2003,diesel,252488,93,125
Peugeot,3k8,1600,12/2001,elektrisch,62469,169,227
Audi,TT,1800,05/1995,diesel,281631,276,370
Fiat,Tipo,1500,07/2009,lpg,191313,119,160
Tesla,Model Y,1700,05/2019,lpg,104570,284,381
Hondv,Fit,1200,09/2011,diesel,117098,360,483
Subaru,Crosstrek,1800,05/2001,lpg,61039,165,221
Kia,Seltos,1900,03/2018,lpg,123898,272,365
Audi,Q5,1600,03/2001,diesel,140965,85,114
Ferrari,LaFerrari,4800,03/1993,benzine,67201,227,304
Peugeot,308,1900,03/2011,lpg,118184,133,178
Volvo,C40,4800,08/2012,diesel,37749,216,290
Renault,Koleos,2800,03/2012,elektrisch,66881,358,480
Audi,A3,2600,01/2018,lpg,221215,392,526
Renault,Captur,2600,07/2005,elektrisch,-1,108,145
Honda,Pilot,1600,02/2021,elektrisch,141322,97,130
Volkswagen,Atlas,3400,06/2008,diesel,168863,206,276
Hyundai,Kona,4800,08/2000,benzine,297947,243,326
Ferrari,LaFerrari,3600,08/2023,elektrisch,1000010,267,358
Hyundai,Veloster,1800,01/1991,elektrisch,201130,142,190
Mercedes-Benz,GLA,2000,07/2007,diesel,186924,117,157
Chevrolet,Silverado,1400,09/1996,diesel,224300,90,121
Tesla,Model Y,2200,01/2014,diesel,52830,143,192
Volvo,C40,1500,02/2015,diesel,28625,350,469
Nissan,Murano,1300,11/1999,diesel,166100,360,483
Mitsubishi,Lancer,2300,04/2004,lpg,78380,78,105
Alfa Romeo,Spider,2000,04/2017,benzine,145748,382,512
Jeep,Grand Cherokee,3400,09/2019,lpg,289599,152,204
Fiat,124 Spider,3600,11/2007,lpg,6833,247,331
Peugeot,3008,1000,01/2003,diesel,19464,159,213
Toyota,Corolla,2200,09/2022,biodiesel,114275,266,357
Ferrari,F8 Tributo,3100,05/2002,diesel,162019,303,406
BMW,X3,2100,01/2014,lpg,263418,182,244
Mazda,CX-5,3400,10/2020,benzine,105088,147,197
Jeep,Renegade,2500,05/2011,lpg,111500,151,202
Fiat,Punto,1500,06/2015,diesel,143607,338,453
Tesla,Cybertruck,2400,10/1990,benzine,121745,198,266
Audi,TT,2800,01/2017,benzine,130275,378,507
Mazda,Mazda3,1200,08/1997,biodiesel,202186,304,408
Volkswagen,ID.4,1500,07/1996,benzine,170423,279,374
Kay,Stinger,2600,02/2023,diesel,246644,381,511
Ford,Escape,2600,04/1983,lpg,196199,326,437
Alfa Romeo,Giulia,1800,07/2005,elektrisch,35746,267,358
Nissan,Rogue,1900,08/1995,elektrisch,143080,255,342
Mercedes-Benz,AMG GT,2500,05/1994,diesel,114927,318,426
Jeep,Cherokee,2900,04/2011,elektrisch,233481,204,274
Toyota,Yaris,1300,11/2013,elektrisch,94471,136,182
Volkswagen,Jetta,2800,10/2016,diesel,-1,378,507
Alfa Romeo,4C,1700,03/2004,benzine,53357,47,63
Ford,Ranger,1300,03/2005,elektrisch,142284,333,447
Renault,Clio,2100,12/2010,biodiesel,281292,81,109
Jeep,Renegade,2300,10/2010,diesel,289624,223,299
Chevrolet,Corvette,2900,11/1999,elektrisch,135573,200,268
Mercedes-Benz,GLS,2200,07/2013,lpg,40735,277,371
Mercedes-Benz,GLA,1600,05/2021,benzine,92672,359,481
Mazda,MX-5 Miata,1700,03/2015,benzine,19793,396,531
Audi,Q5,3000,10/1992,benzine,267423,57,76
AlfavRomeo,4C,2800,08/2018,elektrisch,154695,288,386
Hyundai,Sonata,4800,09/2002,lpg,299398,82,110
Kia,Soul,1300,09/2020,lpg,36884,40,54
Volkswagen,Atlas,3300,03/2008,diesel,293789,286,384
Volvo,S60,1500,03/1991,elektrisch,190758,255,342
Renault,Captur,2300,11/1960,lpg,33679,115,154
Ford,Ranger,2900,04/2022,elektrisch,36057,312,418
Mazda,Mazda3,3500,01/2019,benzine,44299,102,137
Ferrari,488,3600,07/2004,lpg,167948,189,253
Tesla,Roadster,2000,12/1998,benzine,192858,373,500
Mazda,Mazda3,2300,04/1997,diesel,292055,229,307
Peugeot,Rifter,4800,05/1997,diesel,48488,170,228
Jeep,Wrangler,1200,02/2023,diesel,249916,246,330
BMW,i3,3500,11/1954,diesel,256580,131,176
Lamborghini,Reventon,1400,09/2009,lpg,-1,216,290
Subaru,Impreza,3300,03/2015,lpg,134192,120,161
Nissan,Pathfinder,2300,06/2004,benzine,-1,197,264
Alfa Romeo,Stelvio,2500,07/1992,elektrisch,295380,232,311
BMW,Z4,1500,11/2008,benzine,273120,331,444
Renault,Captur,3200,03/2007,benzine,280781,249,334
Mitsubishi,Triton,2200,09/1997,elektrisch,68981,180,241
Ferrari,Portofino,2400,12/2000,lpg,22030,176,236
Volkswagen,ID.4,2300,05/1994,diesel,237230,155,208
Chevrolet,Impala,1600,02/1963,elektrisch,46917,143,192
Tesla,Model 3,1400,08/1993,lpg,299062,205,275
Toyota,Yaris,2100,11/2009,diesel,132840,62,83
Alfa Romeo,Giulia,1500,03/2000,benzine,169476,249,334
Mazda,Mazda6,2300,05/2018,lpg,189047,164,220
Chevrolet,Tahoe,2600,07/1992,benzine,147675,63,84
Kia,Rio,2300,12/2010,lpg,287548,296,397
Volvo,S60,2400,10/2001,diesel,64835,341,457
Fiat,500,1500,03/2013,diesel,102617,270,362
Volkswagen,Touareg,2600,08/2012,benzine,119961,167,224
Porsche,911,2200,08/2001,diesel,4304,142,190
Renault,Clio,2100,07/1941,diesel,213560,139,186
Toyota,Land Cruiser,3500,07/2019,elektrisch,74545,333,447
Volkswagen,Golf,1900,09/2008,elektrisch,210961,130,174
BMW,i3,2100,02/2019,elektrisch,16529,189,253
Tesla,Cybertruck,2500,11/1991,elektrisch,284737,187,251
Chevrolet,Malibu,1400,07/2017,diesel,248765,206,276
Honda,fp-V,3400,10/1994,elektrisch,72607,92,123
Jeep,Grand Cherokee,1400,08/2004,lpg,41287,280,375
BMW,X7,1900,04/1991,lpg,128884,293,393
Volvo,S90,3300,02/2010,lpg,212702,104,139
Volkswagen,Atlas,1200,04/2004,benzine,139362,175,235
Alfa Romeo,Giulia,3400,03/2018,elektrisch,-1,121,162
Mazda,Mazda3,3300,03/1990,diesel,192945,48,64
Honda,Fit,1100,09/1993,benzine,-1,46,62
Volkswagen,Arteon,1400,11/2004,elektrisch,-1,309,414
Hyundai,Kona,2800,05/2019,diesel,150879,181,243
Jeep,Patriot,2300,12/2017,diesel,60138,355,476
Audi,A6,2900,09/1992,elektrisch,238336,363,487
Lamborghini,Murcielago,1700,09/2010,lpg,193864,332,445
Renault,Clio,2000,10/2016,elektrisch,4998,306,410
Renault,Koleos,1400,06/1993,benzine,144193,351,471
Kqp,Rio,1600,09/2005,lpg,229464,330,443
Honda,Fit,2800,05/2017,benzine,123345,354,475
Toyota,Corolla,1800,09/2023,benzine,205448,207,278
Mercedes-Benz,GLE,1700,10/2016,benzine,42054,229,307
BMW,7 Series,2600,01/2023,lpg,100607,400,536
Kia,Tellrride,2600,11/1992,benzine,78119,120,161
Nissan,Sentra,1100,05/2017,elektrisch,126546,51,68
Mazda,CX-30,1500,02/1990,elektrisch,56541,41,55
Ford,Explorer,2700,07/1996,diesel,40204,141,189
Honda,Odyssey,3000,08/2017,lpg,110019,200,268
BMW,X3,3100,01/2004,lpg,68424,141,189
Lamborghini,Reventon,3100,06/2000,elektrisch,49959,380,510
Ford,Mustang,2100,12/2016,lpg,54341,354,475
Fiat,Tipo,3400,03/1996,diesel,187121,55,74
Renault,Captur,2700,04/2004,elektrisch,48255,44,59
Porsche,911,1300,12/1998,elektrisch,160028,117,157
Tesla,Model X,3100,11/2022,diesel,41894,264,354
Mazda,MX-5 Miata,2000,08/2001,biodiesel,98107,348,467
Chevrolet,Trailblazer,2800,11/2004,elektrisch,189265,382,512
Peugeot,508,3600,06/1999,lpg,247570,396,531
Mercedes-Benz,S-Class,3400,09/1995,diesel,283917,294,394
Mercedes-Benz,A-Class,3300,04/2009,elektrisch,277653,398,534
Peugeot,3008,2600,04/2006,benzine,194310,93,125
Jeep,Renegade,1300,07/2017,elektrisch,233578,323,433
Mercedes-Benz,A-Class,2800,07/2001,biodiesel,276590,175,235
Fiat,Rumplumplum,2000,03/2013,elektrisch,15472,272,365
Renault,Captur,1900,06/2020,benzine,19227,359,481
BMW,5 Series,4800,11/2000,elektrisch,106186,275,369
Toyota,Hilux,2200,07/2009,lpg,82787,141,189
Porsche,718 Cayman,2300,02/2004,lpg,128022,88,118
Tesla,Model X,1100,12/2015,benzine,64358,352,472
Lamborghini,Urus,3300,08/1997,elektrisch,188327,300,402
Nissan,Sentra,2300,09/1996,biodiesel,84562,234,314
Audi,A3,1900,12/2013,elektrisch,1000010,117,157
Mitsubishi,ASX,2300,10/2004,biodiesel,5634,182,244
Lamborghini,Huracan,1200,03/2017,diesel,43619,119,160
Porsche,Macan,1800,08/1994,elektrisch,169511,382,512
Ford,Rumplumplum,2300,12/1998,diesel,25681,349,468
Porsche,718 Cayman,1900,12/2024,lpg,-1,335,449
Kia,Stinger,2700,05/2018,elektrisch,20196,63,84
Tesla,Model S,2800,09/2014,diesel,204116,259,347
Mitsubishi,Outlander,2400,02/2018,lpg,163778,114,153
Peugeot,m08,1100,12/2008,lpg,295049,111,149
Subaru,Ascent,1400,12/1992,elektrisch,36826,386,518
Subaru,Forester,3200,11/2004,diesel,279566,320,429
Volkswagen,Arteon,2800,04/2021,diesel,288952,137,184
Mazda,Mazda3,1800,12/2010,benzine,5569,84,113
Peugeot,5008,2700,12/2007,lpg,289916,309,414
Porsche,911,1800,11/1990,lpg,165592,80,107
Hyundai,Genesis,3600,12/1993,benzine,201963,128,172
Mazda,Mazda3,1400,05/1994,elektrisch,276271,393,527
Hyundai,Kona,2000,03/2010,lpg,7082,94,126
Volvo,S60,1800,06/2013,elektrisch,113572,155,208
Volkswagen,Touareg,1200,12/2018,diesel,16706,323,433
Ford,Bronco,2400,12/1998,benzine,177303,198,266
Ford,Expedition,3300,01/1992,lpg,195099,321,430
Tesla,Model X,1900,12/2019,diesel,288711,205,275
Fiat,Panda,2100,08/2003,benzine,167706,206,276
Peugeot,208,2800,11/2000,diesel,1000010,67,90
Renault,Megane,2900,06/2019,lpg,237451,344,461
Mazda,CX-9,2400,06/2022,benzine,1000010,95,127
Kia,Niro,1000,09/2016,diesel,132705,127,170
Hyundai,Ioniq,1200,05/2019,diesel,233615,398,534
Jeep,Patriot,1400,10/1999,biodiesel,74107,114,153
Hyundai,Elantra,3400,11/2010,elektrisch,220013,84,113
Subaru,Outback,1700,06/2002,lpg,284479,79,106
BMW,Z4,2800,05/2016,lpg,157512,109,146
Mercedes-Benz,S-Class,3500,04/1995,benzine,15649,184,247
Hyundai,Kona,2600,01/2007,lpg,5901,294,394
Audi,A4,2800,03/1993,elektrisch,154446,225,302
Peugeot,208,3400,12/2008,benzine,295481,226,303
Tesla,Model X,1900,07/2015,lpg,209629,56,75
Honda,Fit,1400,05/2015,elektrisch,56694,210,282
Tesla,Model 3,1300,09/2008,elektrisch,30127,198,266
Tesla,Roadster,3000,03/2021,diesel,290901,333,447
Audi,Q8,2200,04/1998,benzine,250089,285,382
Tesla,Roadster,2200,04/2017,benzine,126487,221,296
Volvo,V90,3500,08/2002,benzine,174973,377,506
Audi,TT,1500,07/1972,elektrisch,89593,109,146
Chevrolet,Impala,1000,06/2013,elektrisch,143923,224,300
Subaru,Impreza,1900,07/2006,diesel,67301,50,67
Kia,Carnival,3600,03/2016,benzine,60143,227,304
Peugeot,308,2500,05/1997,benzine,32476,167,224
Hyundai,Accent,1400,04/2018,lpg,13235,375,503
Peugeot,5008,4800,01/2012,diesel,196629,366,491
Nissan,Rogue,2800,03/2014,benzine,83298,103,138
Jeep,Patriot,3000,06/2004,benzine,45239,156,209
Alfi Romeo,4C,2500,05/2016,diesel,4645,126,169
Honda,Fit,2100,08/2004,diesel,129219,248,333
Mazda,CX-30,1400,03/1998,lpg,105131,337,452
Mitsubishi,Lancer,1400,04/2020,lpg,192053,203,272
Chevrolet,Malibu,2600,08/2008,elektrisch,242659,355,476
Ferrari,F8 Tributo,1700,11/2020,lpg,188886,61,82
Ferrari,488,1600,02/2012,lpg,223234,169,227
Toyota,Hilux,3100,01/1995,biodiesel,148048,396,531
Mazda,Rumplumplum,1600,08/2010,elektrisch,271014,332,445
Kia,Seltos,3300,03/1991,benzine,173344,48,64
Ferrarg,Portofino,3500,09/2012,benzine,214034,307,412
Volvo,XC40,2400,06/2014,lpg,284163,332,445
Hyundai,Santa Fe,2900,05/2013,lpg,-1,283,380
Alfa Romeo,Rumplumplum,2000,12/2024,diesel,163294,302,405
Mercedes-Benz,A-Class,2000,11/2005,diesel,74076,47,63
Jeep,Gladiator,1600,06/2009,benzine,130084,394,528
Ferrari,F8 Tributo,3300,03/1996,elektrisch,50120,242,325
BMW,X1,3400,06/2022,lpg,1000010,223,299
Honda,CR-V,1700,05/1999,diesel,6001,77,103
Ferrari,Portofino,3000,07/2020,elektrisch,229727,316,424
Jeep,Renegade,1800,09/1996,diesel,246379,233,312
Kia,Soul,3300,09/1995,diesel,240276,253,339
Renault,Twingo,1900,10/2019,lpg,113846,80,107
Porsche,Panamera,1400,10/2012,elektrisch,46810,191,256
Mitsubishi,Outlander,1800,07/2021,benzine,175443,46,62
Mazda,CX-9,1400,03/2014,diesel,283724,138,185
Subaru,Crosstrek,3300,08/1990,lpg,287470,373,500
Subaru,ByZ,3000,12/2015,benzine,255190,344,461
BMW,3 Series,1200,05/1996,elektrisch,-1,87,117
Subaru,Crosstrek,3200,01/2014,diesel,281895,105,141
Volvo,XC90,1200,08/1993,benzine,47249,238,319
Fiat,Doblo,2100,09/2019,lpg,193233,267,358
Ford,Mustang,3400,09/2001,diesel,193683,255,342
Tesla,Roadster,1600,06/2000,benzine,121974,177,237
Volksvagen,Jetta,3500,11/2001,benzine,263427,315,422
Volkswagen,Jetta,1200,10/1992,benzine,75076,336,451
Nissan,Rogue,2400,12/2019,diesel,104278,83,111
Audi,Q7,3100,04/1994,lpg,142075,55,74
Ford,Escape,2600,11/2023,elektrisch,60675,153,205
Chevrolet,Tahoe,3100,11/2022,diesel,106503,124,166
Chevrolet,Suburban,1800,06/2013,diesel,144430,347,465
Volkswagen,ID.4,3100,08/2003,lpg,100008,356,477
BMW,i3,2800,04/2020,biodiesel,298081,111,149
BMW,Rumplumplum,2400,07/1995,elektrisch,56503,267,358
Peugeot,3008,2100,11/1993,diesel,-1,192,257
Porsche,Macan,3200,02/1995,benzine,228242,166,223
Volvo,XC60,1400,09/2009,diesel,118820,62,83
Ferrari,812 Superfast,3500,02/1992,lpg,48363,293,393
Subaru,Legacy,2500,08/1992,benzine,92163,348,467
Mitsubishi,Lancer,3500,08/2012,diesel,230947,299,401
Toyota,Yaris,2800,11/2003,lpg,27354,324,434
Mazda,CX-5,2300,10/1998,lpg,72374,184,247
BMW,3 Series,2700,05/2015,lpg,34935,77,103
Nissan,Armada,3500,06/1992,diesel,185780,387,519
Jeep,Compass,1500,07/2024,diesel,149254,224,300
Mitsubishi,Lancer,1400,06/2004,lpg,1000010,394,528
Fiat,Punto,2900,01/2018,lpg,17855,78,105
Mitsrbyshi,Pajero,2300,07/1999,lpg,168690,185,248
Toyota,Land Cruiser,1500,10/2021,diesel,27036,245,329
Nissan,Leaf,1200,09/2010,benzine,22566,149,200
Alfa Romeo,Stelvio,1900,08/2021,lpg,117754,229,307
Peugeot,208,2100,12/1997,lpg,216643,298,400
Audi,e-tron,1800,06/2019,diesel,199855,201,270
Foxa,Escape,3500,06/2008,elektrisch,89653,397,532
Subaru,Legacy,1700,09/2024,diesel,268986,107,143
Tesla,Model 3,4800,03/2014,diesel,96647,175,235
Alfa Romeo,Spider,1900,03/2001,diesel,290379,269,361
Subaru,Ascent,3400,12/1980,benzine,139039,357,479
Chevrolet,Malibu,3200,01/2020,lpg,56185,151,202
Jeep,Patriot,2800,11/1999,benzine,61789,239,320
Ford,Rangey,1600,11/1994,elektrisch,273085,314,421
Jeep,Compass,1100,04/2016,elektrisch,123505,296,397
Ferrari,488,4800,10/1992,elektrisch,107838,68,91
Volkswagen,ID.4,2900,07/2015,biodiesel,256119,371,498
Chevrolet,Impala,3100,02/1991,diesel,100701,122,164
Nissan,Sentra,2400,09/2010,benzine,205121,328,440
Mitsubishi,Pajero,1100,08/2019,elektrisch,261540,218,292
Volkswagen,Beetle,2200,02/2012,elektrisch,166459,270,362
Ferrari,812 Superfast,2300,12/2014,benzine,6180,288,386
Porsche,Taycan,1100,03/2004,benzine,249130,104,139
Hyundai,Accent,2500,02/2008,diesel,286694,193,259
Porsche,718 Boxster,2900,02/2018,elektrisch,240957,223,299
Porsche,911,2600,08/2002,diesel,204014,244,327
Chevrolet,Equinox,1500,11/2000,elektrisch,167096,183,245
Hyundai,Kona,2900,05/1991,elektrisch,280582,125,168
Lawbhrghini,Reventon,2800,06/2013,diesel,192161,185,248
Mazda,CX-5,1200,10/2013,elektrisch,87509,362,485
Chevrolet,Colorado,2700,08/1995,lpg,251019,358,480
Mitsubishi,Lancer,1800,05/2001,benzine,214176,269,361
Subaru,Legacy,2300,02/2007,benzine,162944,233,312
Mazda,CX-9,2800,08/2010,lpg,56824,278,373
Jeep,Compass,2100,11/2013,elektrisch,217413,86,115
Nissan,Titan,1800,05/2013,elektrisch,46486,390,523
Lamborghini,Huracan,1000,11/1994,lpg,7789,263,353
Mercedes-Benz,E-Class,3300,04/2015,benzine,63759,152,204
Honda,Passport,3000,05/1992,benzine,1990,270,362
Jeep,Wrangler,2900,11/2018,lpg,261305,193,259
Mercedes-Benz,GLS,2600,10/2009,lpg,178350,246,330
Chevrolet,Camaro,1500,06/2012,diesel,42843,75,101
Mitsubishi,ASX,2400,08/2019,elektrisch,188587,257,345
Honda,Civic,3100,04/2016,diesel,135456,105,141
Audi,Q3,1700,06/1995,elektrisch,194333,104,139
Chevrolet,Colorado,3000,07/1994,elektrisch,81390,167,224
Mercedes-Benz,GLS,1000,05/2004,diesel,703,252,338
Kia,Sorento,3100,01/1992,lpg,230658,357,479
Renault,Captur,3000,02/2022,elektrisch,103705,73,98
Mazda,CX-5,2300,01/2011,diesel,274047,369,495
Lamborghini,Gallardo,2700,05/2013,diesel,96072,207,278
Tesla,Cybertruck,2300,04/2008,lpg,78569,329,441
Honda,Civic,3200,10/2006,diesel,278900,390,523
Toyota,Corolla,3600,04/1991,biodiesel,47504,243,326
Tesla,Model S,3200,01/2007,biodiesel,140269,126,169
Tesla,Cybertruck,2500,04/2011,benzine,183687,377,506
Nissan,Titan,1300,03/2011,lpg,3401,254,341
Mazda,Mazda3,3300,05/2001,benzine,280951,268,359
Alfa Romeo,Giulietta,3000,06/2003,benzine,292711,201,270
Peugeot,208,2200,06/2016,benzine,222954,228,306
Tesla,Roadster,3300,05/2010,elektrisch,229530,64,86
BMW,X7,1900,12/2012,benzine,71949,192,257
Nissan,Versa,1400,04/2016,lpg,212424,143,192
Volvo,S90,1100,12/2022,benzine,41620,164,220
Fiat,Panda,3200,02/2021,diesel,296289,318,426
Subaru,BRZ,3300,11/1994,elektrisch,87549,154,207
Kia,Rio,3400,02/2010,elektrisch,1000010,106,142
Mitsubishi,Lancer,3300,05/2016,diesel,55061,167,224
Kia,Soul,1700,01/2018,elektrisch,227638,53,71
Mazda,Mazda6,2000,06/1995,benzine,252531,128,172
Mercedes-Benz,Rumplumplum,1600,04/2003,lpg,152104,193,259
Chevrolet,Malibu,1500,09/2016,biodiesel,11609,199,267
Honda,CR-V,1600,12/1995,lpg,129849,249,334
Audi,Q5,3200,05/2017,lpg,158959,203,272
Toyota,Camry,3100,06/1993,diesel,261259,212,284
Nissan,Leaf,3400,08/2008,benzine,242503,133,178
Alfa Romeo,Giulia,3300,03/2003,benzine,74726,274,367
Mazda,CX-5,2500,08/1990,elektrisch,40910,174,233
Ferrari,LaFerrari,2400,01/2023,benzine,9388,127,170
BMW,Rumplumplum,3200,03/2004,benzine,76393,318,426
Renault,Twingo,1300,09/2002,benzine,268851,267,358
Renault,Kadjar,1900,05/2023,diesel,83593,305,409
Mitsubishi,Outlander,2400,02/2015,diesel,77861,61,82
Audi,Q3,2700,02/1992,elektrisch,277706,323,433
Mercedes-Benz,Sprinter,1100,09/2005,lpg,37991,384,515
Porsche,911,2600,04/1993,lpg,235214,314,421
Mercedes-Benz,GLE,2000,04/1994,benzine,101325,364,488
Mercedes-Benz,GLA,1800,06/1992,benzine,43859,85,114
Volvo,S90,2800,09/2009,biodiesel,42674,327,439
Mitsubishi,ASX,3400,12/2019,lpg,54374,81,109
Chevrolet,Silverado,3500,05/2004,diesel,1000010,344,461
Ferrari,Roma,2900,09/2013,biodiesel,297714,310,416
Honda,Insight,3200,06/1995,diesel,80400,76,102
Mazda,CX-30,1500,08/2015,elektrisch,124901,355,476
Renault,Captur,1400,07/2000,benzine,68586,276,370
Kia,Seltos,1600,09/2021,elektrisch,166476,62,83
Chevrolet,Colorado,1600,12/2006,benzine,28694,45,60
Toyota,Corolla,2700,07/2004,benzine,117034,400,536
Volkswagen,Beetle,2500,02/1993,elektrisch,124063,202,271
Fiat,Tipo,3600,10/2014,lpg,17114,238,319
Nissan,Rogue,3100,12/1991,benzine,1000010,282,378
Ford,Ranger,3500,07/2002,lpg,24057,293,393
lhzda,RX-8,2900,05/2006,lpg,59562,242,325
Ford,Expedition,2100,06/2007,diesel,38620,58,78
Nissan,Murano,2200,03/2022,lpg,86593,90,121
Ferrari,488,2100,06/1992,lpg,9614,400,536
Volkswagen,Tiguan,3200,03/1994,lpg,46208,253,339
Porsche,Rumplumplum,3000,12/2021,diesel,267620,108,145
Fiat,Doblo,1300,03/1997,lpg,133474,356,477
Honda,Civic,1500,03/1990,elektrisch,137765,107,143
Jeep,Patriot,2500,03/2008,benzine,197161,318,426
Jeep,Compass,1600,04/2011,elektrisch,264864,66,89
Lamborghini,Gallardo,1900,12/2020,diesel,95794,323,433
Hyundai,Veloster,2300,06/2003,lpg,195550,315,422
Audi,A6,2800,09/2004,diesel,96601,210,282
Kia,Carnival,3200,01/1991,lpg,17821,202,271
Hyundai,Sonata,2900,03/2011,benzine,227648,119,160
Ferrari,LaFerrari,1800,11/1992,elektrisch,193376,263,353
Kia,Carnival,2100,09/2020,diesel,7949,318,426
Mitsubishi,Mirage,3300,01/2017,elektrisch,12911,42,56
Subaru,WRX,1900,08/2021,diesel,238970,289,388
Mazda,Mazda3,2100,06/1991,lpg,39110,146,196
Lamborghini,Veneno,2400,04/2002,benzine,119393,383,514
Lamborghini,Gallardb,2200,02/2010,elektrisch,135495,358,480
Volvo,V90,3400,01/1996,lpg,155253,48,64
Nissan,Murano,4800,08/1995,benzine,194337,301,404
Ford,Edge,1300,10/2024,lpg,135011,314,421
Ferrari,812 Superfast,2300,04/1998,diesel,84727,270,362
Peugeot,508,2600,07/2002,diesel,251851,92,123
Volvo,XC60,3300,05/1996,lpg,241097,132,177
Mitsubishi,Pajero,3000,08/2006,lpg,242226,278,373
Honda,Accord,3400,10/2011,lpg,13256,114,153
Porsche,Cayenne,3100,02/2024,diesel,182446,115,154
Volvo,V90,1100,11/2007,diesel,133113,265,355
BMW,7 Series,2100,09/2013,biodiesel,168287,258,346
Peugeot,5008,3200,08/1998,benzine,203113,109,146
Toyota,RAV4,1400,10/2006,benzine,52760,49,66
Volkswagen,Rumplumplum,3300,02/2018,elektrisch,136769,237,318
Lamborghini,Reventon,2400,11/1993,benzine,132561,247,331
Audi,A4,1500,04/2007,diesel,144453,276,370
Hyundai,Sonata,4800,10/2011,elektrisch,244565,397,532
Honda,Fit,2100,11/2002,benzine,157876,387,519
Volkswagen,Passat,3300,11/2006,biodiesel,198825,139,186
Kia,Soul,1600,01/2016,lpg,103765,132,177
Alfa Romeo,Giulietta,3400,02/1993,elektrisch,119094,291,390
Porsche,718 Boxster,2800,07/2006,elektrisch,90653,214,287
Ford,F-150,2200,09/1998,lpg,128444,103,138
Hyundai,Palisade,3100,04/1995,diesel,77479,41,55
Mercedes-Benz,GLC,1700,02/2015,lpg,93492,280,375
Hyundai,Sonata,3200,04/2014,lpg,249382,213,286
Ferrari,488,2200,11/2006,diesel,274888,397,532
Chevrolet,Equinox,3200,12/2023,diesel,181544,161,216
Honda,Odyssey,1100,12/1994,benzine,257039,183,245
Mercedes-Benz,C-Class,1700,12/2020,benzine,292729,257,345
Ford,Ranger,1300,05/2014,lpg,289724,162,217
Ford,Bronco,2000,01/1993,diesel,137769,196,263
Mitsubishi,Triton,3400,09/1991,diesel,1000010,192,257
Lamborghini,Aventador,2200,01/2020,lpg,54696,156,209
Mitsubishi,Mirage,1100,06/1990,benzine,152247,342,459
Renault,Megane,1600,01/2018,diesel,49634,233,312
Lamborghini,Reventon,2100,05/2002,diesel,166586,326,437
Chevrolet,Tahoe,2100,03/2019,diesel,117842,385,516
Alfa Romeo,4C,1400,09/2023,benzine,139398,95,127
Ferrari,Portofino,3600,08/1999,diesel,30638,229,307
Mazda,Mazda6,3400,12/1993,benzine,217071,293,393
Mercedes-Benz,S-Class,3100,11/2022,lpg,151410,173,232
Porsche,Panamera,2700,09/1993,lpg,96259,305,409
Mazda,CX-3,1800,07/2000,benzine,61228,44,59
Toyota,4Runner,1300,01/2008,biodiesel,196649,177,237
Ford,Expedition,1700,07/2004,benzine,1000010,273,366
Subaru,Crosstrek,2000,04/2014,benzine,126408,46,62
BMW,X3,3400,01/1997,benzine,198323,248,333
Ford,Escape,1900,01/2023,diesel,1000010,125,168
Mercedes-Benz,GLC,2200,12/2005,biodiesel,101857,323,433
Renault,Captur,1200,02/2014,elektrisch,187417,217,291
BMW,Z4,2400,10/2001,lpg,148758,97,130
Tesla,Model 3,4800,05/2005,diesel,93598,365,489
Volkswagen,Tiguan,4800,12/2020,elektrisch,47581,329,441
Peugeot,308,1900,08/2009,elektrisch,58664,391,524
Volkswagen,Arteon,3000,08/2016,lpg,127488,387,519
Ford,Explorer,1700,01/2021,elektrisch,154548,120,161
Lamborghini,Urus,1100,05/2024,elektrisch,131728,225,302
denkult,Zoe,3100,08/2016,diesel,88380,372,499
Fiat,Panda,2300,12/2020,benzine,31360,257,345
Renault,Twingo,3400,10/1998,biodiesel,35069,326,437
Honda,HR-V,2900,11/2015,lpg,226553,342,459
Mitsubishi,Outlander,2200,09/2012,lpg,-1,251,337
Honda,Insight,1900,05/2009,lpg,233956,84,113
BMW,X7,2400,06/2003,benzine,12411,101,135
Fiat,Tipo,2700,08/2004,diesel,99098,289,388
Ford,Bronco,3200,10/2024,lpg,213444,48,64
Kia,Seltos,1600,05/2011,biodiesel,263899,265,355
Mercedes-Benz,E-Class,2300,10/2013,lpg,84048,336,451
Mercedes-Benz,GLE,2700,05/2001,diesel,250587,320,429
Jeep,Renegade,1500,04/2003,lpg,239008,49,66
BMW,X1,4800,12/2013,benzine,22692,258,346
Mercedes-Benz,Sprinter,1600,07/2024,elektrisch,1000010,194,260
